# Lines 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20

# Buses

7	4	5
8	13	4
8	13	2
13	1	6
1	2	5
7	13	12
11	13	2
3	7	2
3	13	2
7	12	2
8	1	12
3	6	4
13	4	12
7	12	5
8	7	11
13	12	2
7	1	2
7	4	12
8	2	5
3	8	6
8	6	12
4	12	2
7	11	12
7	6	12
3	11	2
13	2	5
4	12	5
3	1	2
11	12	5
7	1	5
11	13	1
13	4	5
8	11	1
8	7	12
3	7	4
1	6	12
3	4	2
11	2	5
8	11	13
8	4	12
6	4	5
8	1	5
11	1	12
8	7	6
11	13	5
11	1	5
11	6	4
1	12	5
11	6	2
3	13	6
6	12	2
11	4	5
6	2	5
3	6	5
3	6	12
8	11	5
6	4	2
3	8	11
8	11	4
8	11	2
11	1	6
7	13	4
11	13	6
1	4	12
13	1	2
8	4	5
11	4	2
13	6	12
8	12	5
3	1	6
13	1	4
3	11	6
3	13	12
8	7	13
11	12	2
3	7	5
8	6	5
7	1	6
1	4	5
7	11	4
7	4	2
3	8	2
11	6	5
8	13	6
6	12	5
13	4	2
8	1	4
7	13	2
11	13	12
13	12	5
8	7	1
3	11	12
8	1	2
3	1	12
8	13	12
3	7	12
1	6	5
1	6	4
3	8	4
7	11	2
